age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,balance_log
32,blue-collar,single,secondary,no,118,yes,no,cellular,18,nov,216,1,124,1,success,0,4.77912349311153
50,self-employed,single,tertiary,no,21,yes,no,cellular,18,nov,157,1,188,1,failure,0,3.091042453358316
30,management,married,tertiary,no,900,no,no,cellular,18,nov,123,1,124,2,failure,0,6.803505257608338
32,admin.,married,secondary,no,1785,yes,no,cellular,18,nov,51,2,154,6,other,0,7.487733761436444
55,services,married,secondary,no,3546,yes,yes,cellular,18,nov,588,1,110,2,failure,0,8.173857454773621
32,management,married,tertiary,no,1667,yes,no,cellular,18,nov,164,2,179,3,failure,0,7.419380582918692
32,services,single,secondary,no,2251,yes,yes,cellular,18,nov,131,1,124,1,failure,0,7.719573989259581
31,admin.,single,secondary,no,2076,no,yes,cellular,18,nov,178,1,127,7,other,0,7.638679823876112
46,blue-collar,single,primary,no,3046,yes,yes,cellular,18,nov,84,1,183,1,other,0,8.021912778985708
44,technician,married,secondary,no,533,yes,no,cellular,18,nov,127,1,110,2,failure,0,6.280395838960195
36,blue-collar,married,secondary,no,2894,yes,no,cellular,18,nov,91,1,124,1,failure,0,7.970740390007095
34,management,married,tertiary,no,11,yes,no,cellular,18,nov,123,1,124,1,failure,0,2.4849066497880004
32,management,married,tertiary,no,3107,yes,yes,cellular,18,nov,165,2,116,1,failure,0,8.041734711487537
48,blue-collar,married,secondary,no,3008,yes,yes,cellular,18,nov,163,1,187,3,failure,0,8.009363076630045
48,management,single,tertiary,no,648,yes,no,cellular,18,nov,290,1,110,2,failure,0,6.47543271670409
39,services,married,secondary,no,173,yes,no,cellular,18,nov,96,2,182,2,failure,0,5.159055299214529
47,admin.,single,secondary,no,19,yes,yes,cellular,18,nov,90,2,123,1,failure,0,2.995732273553991
52,blue-collar,married,tertiary,no,297,yes,no,cellular,18,nov,62,2,195,1,failure,0,5.697093486505405
59,technician,divorced,secondary,no,797,yes,no,cellular,18,nov,319,2,165,2,failure,0,6.682108597449809
36,services,single,secondary,no,1482,yes,no,cellular,18,nov,177,2,174,1,other,0,7.301822342137932
38,entrepreneur,married,tertiary,no,678,no,yes,cellular,18,nov,82,2,152,1,failure,0,6.520621127558696
54,blue-collar,married,secondary,no,506,yes,no,cellular,18,nov,172,2,104,2,failure,0,6.2285110035911835
51,management,married,tertiary,no,-516,yes,no,cellular,18,nov,120,2,187,2,failure,0,0.0
44,management,single,tertiary,no,1356,no,yes,cellular,18,nov,264,2,134,2,other,0,7.213031659834869
47,blue-collar,married,primary,no,1533,no,yes,cellular,18,nov,273,2,96,4,failure,0,7.335633981927201
34,blue-collar,married,primary,no,500,yes,no,cellular,18,nov,240,2,182,1,failure,0,6.2166061010848646
54,admin.,married,secondary,no,3729,no,yes,cellular,18,nov,597,2,116,1,other,0,8.224163512637862
30,blue-collar,married,secondary,no,246,yes,no,cellular,18,nov,166,2,113,5,failure,0,5.5093883366279774
43,management,single,tertiary,no,-56,yes,no,cellular,18,nov,146,2,151,14,failure,0,0.0
52,services,married,secondary,no,2257,yes,no,telephone,18,nov,102,2,188,1,failure,0,7.722234744709607
36,blue-collar,married,secondary,no,402,no,yes,cellular,18,nov,86,2,154,1,failure,0,5.998936561946683
39,management,married,secondary,no,517,yes,no,cellular,18,nov,387,3,196,2,failure,0,6.249975242259483
32,management,single,tertiary,no,0,yes,no,cellular,18,nov,244,2,168,1,other,0,0.0
46,management,married,tertiary,no,0,no,no,cellular,18,nov,716,2,110,3,other,1,0.0
45,management,single,tertiary,no,5694,yes,no,cellular,18,nov,145,2,193,2,failure,0,8.647343875881283
54,self-employed,married,tertiary,no,368,no,no,cellular,18,nov,74,2,110,4,failure,0,5.910796644040527
41,entrepreneur,married,secondary,no,-1882,yes,no,cellular,18,nov,17,5,151,2,other,0,0.0
36,entrepreneur,single,secondary,no,296,no,no,cellular,18,nov,67,2,111,2,failure,0,5.6937321388027
38,technician,married,secondary,no,508,yes,no,cellular,18,nov,722,3,175,2,failure,0,6.2324480165505225
36,technician,single,primary,no,2169,yes,no,cellular,18,nov,133,2,110,3,other,0,7.682482446534506
